s0,s1,i0,i1,i2,i3,x
0,0,0,0,0,0,0
0,0,0,0,0,1,0
0,0,0,0,1,0,0
0,0,0,0,1,1,0
0,0,0,1,0,0,0
0,0,0,1,0,1,0
0,0,0,1,1,0,0
0,0,0,1,1,1,0
0,0,1,0,0,0,1
0,0,1,0,0,1,1
0,0,1,0,1,0,1
0,0,1,0,1,1,1
0,0,1,1,0,0,1
0,0,1,1,0,1,1
0,0,1,1,1,0,1
0,0,1,1,1,1,1
0,1,0,0,0,0,0
0,1,0,0,0,1,0
0,1,0,0,1,0,0
0,1,0,0,1,1,0
0,1,0,1,0,0,1
0,1,0,1,0,1,1
0,1,0,1,1,0,1
0,1,0,1,1,1,1
0,1,1,0,0,0,0
0,1,1,0,0,1,0
0,1,1,0,1,0,0
0,1,1,0,1,1,0
0,1,1,1,0,0,1
0,1,1,1,0,1,1
0,1,1,1,1,0,1
0,1,1,1,1,1,1
1,0,0,0,0,0,0
1,0,0,0,0,1,0
1,0,0,0,1,0,1
1,0,0,0,1,1,1
1,0,0,1,0,0,0
1,0,0,1,0,1,0
1,0,0,1,1,0,1
1,0,0,1,1,1,1
1,0,1,0,0,0,0
1,0,1,0,0,1,0
1,0,1,0,1,0,1
1,0,1,0,1,1,1
1,0,1,1,0,0,0
1,0,1,1,0,1,0
1,0,1,1,1,0,1
1,0,1,1,1,1,1
1,1,0,0,0,0,0
1,1,0,0,0,1,1
1,1,0,0,1,0,0
1,1,0,0,1,1,1
1,1,0,1,0,0,0
1,1,0,1,0,1,1
1,1,0,1,1,0,0
1,1,0,1,1,1,1
1,1,1,0,0,0,0
1,1,1,0,0,1,1
1,1,1,0,1,0,0
1,1,1,0,1,1,1
1,1,1,1,0,0,0
1,1,1,1,0,1,1
1,1,1,1,1,0,0
1,1,1,1,1,1,1
