x0,x1,y0,y1,cin,s0,s1,cout
0,0,0,0,0,0,0,0
0,0,0,0,1,1,0,0
0,0,0,1,0,0,1,0
0,0,0,1,1,1,1,0
0,0,1,0,0,1,0,0
0,0,1,0,1,0,1,0
0,0,1,1,0,1,1,0
0,0,1,1,1,0,0,1
0,1,0,0,0,0,1,0
0,1,0,0,1,1,1,0
0,1,0,1,0,0,0,1
0,1,0,1,1,1,0,1
0,1,1,0,0,1,1,0
0,1,1,0,1,0,0,1
0,1,1,1,0,1,0,1
0,1,1,1,1,0,1,1
1,0,0,0,0,1,0,0
1,0,0,0,1,0,1,0
1,0,0,1,0,1,1,0
1,0,0,1,1,0,0,1
1,0,1,0,0,0,1,0
1,0,1,0,1,1,1,0
1,0,1,1,0,0,0,1
1,0,1,1,1,1,0,1
1,1,0,0,0,1,1,0
1,1,0,0,1,0,0,1
1,1,0,1,0,1,0,1
1,1,0,1,1,0,1,1
1,1,1,0,0,0,0,1
1,1,1,0,1,1,0,1
1,1,1,1,0,0,1,1
1,1,1,1,1,1,1,1
